StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2024-09-01T15:00:00Z,APXMIDP,01-09-2024,33,73.27,2085.95
2024-09-01T14:30:00Z,APXMIDP,01-09-2024,32,51.69,2086.9
2024-09-01T14:00:00Z,APXMIDP,01-09-2024,31,25.21,2108.7
2024-09-01T13:30:00Z,APXMIDP,01-09-2024,30,22.98,2252.8
2024-09-01T13:00:00Z,APXMIDP,01-09-2024,29,21.11,2437.35
2024-09-01T12:30:00Z,APXMIDP,01-09-2024,28,19.13,2151.9
2024-09-01T12:00:00Z,APXMIDP,01-09-2024,27,23.31,2246.7
2024-09-01T11:30:00Z,APXMIDP,01-09-2024,26,33.82,2011.6
2024-09-01T11:00:00Z,APXMIDP,01-09-2024,25,37.6,2127.15
2024-09-01T10:30:00Z,APXMIDP,01-09-2024,24,39.04,2139.55
